asdf_id,viirs_ntl_annual_v21_avg_masked.2012.mean,viirs_ntl_annual_v21_avg_masked.2013.mean,viirs_ntl_annual_v21_avg_masked.2014.mean,viirs_ntl_annual_v21_avg_masked.2015.mean,viirs_ntl_annual_v21_avg_masked.2016.mean,viirs_ntl_annual_v21_avg_masked.2017.mean,viirs_ntl_annual_v21_avg_masked.2018.mean,viirs_ntl_annual_v21_avg_masked.2019.mean,viirs_ntl_annual_v21_avg_masked.2020.mean,viirs_ntl_annual_v21_avg_masked.2021.mean,Level,gqid,shapeGroup,shapeID,shapeName,shapeType
220,0.663860821161,0.757868624396,0.713167722312,0.775597942297,0.828006164221,1.13215099508,1.25192271432,1.1882612291,1.2820370789,1.38359989717,ADM2,220,THA,THA-ADM2-46861878B75986601,Kantharawichai,ADM2
221,0.308549836203,0.364720811034,0.336951851812,0.414242833306,0.417500089097,0.4917312444,0.52412619309,0.628034303647,0.729380330376,0.849023366528,ADM2,221,THA,THA-ADM2-46861878B72372558,Kao Liao,ADM2
222,0.0584015538309,0.0690482331758,0.0819057104499,0.0976318988003,0.109223636123,0.164903483879,0.190737779747,0.174696014739,0.235565126935,0.509926714067,ADM2,222,THA,THA-ADM2-46861878B60756359,Kap Choeng,ADM2
223,0.21929263379,0.219267046691,0.247646691881,0.358714861885,0.3963961102,0.6080189369,0.599055059074,0.522368415794,0.544496854024,0.726687737264,ADM2,223,THA,THA-ADM2-46861878B14275434,Kapho,ADM2
224,0.107016133604,0.116153824076,0.10314253308,0.116469322545,0.123010233117,0.145997840097,0.175833211528,0.177717208053,0.205348041818,0.225618326602,ADM2,224,THA,THA-ADM2-46861878B99886027,Kapoe,ADM2
225,0.0228931953328,0.028604840841,0.0360215057955,0.0620944836476,0.079156099062,0.0938690776605,0.106922445877,0.105448162045,0.144838132255,0.20354768791,ADM2,225,THA,THA-ADM2-46861878B84613977,Kapong,ADM2
226,0.106016698742,0.134609563638,0.161253768062,0.177416547967,0.172103566788,0.239068775466,0.241525019657,0.240701761055,0.264168926593,0.3071117872,ADM2,226,THA,THA-ADM2-46861878B93381995,Kaset Sombun,ADM2
227,0.137701510297,0.165388949774,0.141378398791,0.16636614197,0.1636845531,0.252284434357,0.275239501223,0.273527749626,0.317748021889,0.409593236006,ADM2,227,THA,THA-ADM2-46861878B31953925,Kaset Wisai,ADM2
228,10.0913520673,10.3139852744,10.2235866919,9.94013267952,10.2888957073,10.5597547172,10.3380635589,10.9260102147,10.8281351768,9.31409548911,ADM2,228,THA,THA-ADM2-46861878B84225393,Kathu,ADM2
229,0.174635853289,0.189365780841,0.168681798227,0.170592713085,0.213771337148,0.333596119735,0.336893620728,0.315269609985,0.395871253521,0.609702881513,ADM2,229,THA,THA-ADM2-46861878B140526,Khaen Dong,ADM2
230,0.933511095134,1.02314542883,0.977935206501,1.1284180566,1.11156981808,1.3119583009,1.47057122637,1.62435790154,1.75114977126,2.11477501669,ADM2,230,THA,THA-ADM2-46861878B9084107,Khai Bang Rachan,ADM2
231,0.162374609395,0.199013058403,0.198725357545,0.296240009029,0.284572422948,0.400617295133,0.415939506616,0.44114013326,0.517493131113,0.687250431476,ADM2,231,THA,THA-ADM2-46861878B65323820,Kham Khuean Kaeo,ADM2
232,0.157313622112,0.169342065536,0.170216626982,0.158870008906,0.157157127712,0.276508887498,0.287150297933,0.269756044821,0.339018013779,0.40339912742,ADM2,232,THA,THA-ADM2-46861878B70535492,Kham Muang,ADM2
233,0.100423585781,0.115384365217,0.0970524195049,0.131205995713,0.168912506365,0.195702848485,0.209605882758,0.256991625988,0.254530204771,0.335805300409,ADM2,233,THA,THA-ADM2-46861878B65190524,Kham Sakaesaeng,ADM2
234,0.126955669376,0.132154524169,0.108485392824,0.127481371669,0.134256370155,0.241002656503,0.21736938743,0.193387279751,0.248902406219,0.399641400868,ADM2,234,THA,THA-ADM2-46861878B53052226,Kham Ta Kla,ADM2
235,0.48856328537,0.498823677982,0.487061061616,0.596567509178,0.6034571471,0.752214017284,0.778675605536,0.981403000104,1.42493999808,1.4209522208,ADM2,235,THA,THA-ADM2-46861878B52212705,Kham Thale So,ADM2
236,0.0704345914277,0.0877694338806,0.0847040222318,0.0935338311824,0.0835728292133,0.138639587932,0.164091751807,0.161693924465,0.221756964236,0.30888952009,ADM2,236,THA,THA-ADM2-46861878B91183103,Khamcha-I,ADM2
